r,g,b,oc
10.4,6.7,5.5,43.53
26.38246197,17.0,9.8,0.15
21.4,17.9,15.2,0.7544
20.6,17.7,13.8,0.0852
21.7,16.2,11.5,1.23
8.2,6.3,5.4,40.74
34.8,25.1,15.9,0.21
23.8,18.4,14.0,0.7616
28.67467282,17.9,10.6,0.16
11.0,8.8,5.8,2.0316
48.7,34.7,18.0,0.3856
21.2,16.6,13.0,3.39
22.9,16.5,13.3,0.76
34.1,26.7,18.7,0.16
41.1,31.6,21.4,0.15
28.3,24.7,18.6,0.5616
35.1,22.5,15.9,0.044
15.6,9.2,6.8,47.32
22.0,17.2,12.8,0.4692
11.5,6.8,4.9,29.55
31.0,24.1,16.5,0.57
11.2,8.9,7.7,5.56
23.31276996,10.7,5.9,0.27
12.9,8.6,5.9,0.7968
36.4,23.1,12.8,3.8
16.7,12.1,8.4,2.8952
21.1,14.8,8.9,0.9096
24.7,19.1,13.2,0.08
20.97173365,16.3,13.6,2.11
32.0,27.9,25.3,0.54
19.5,11.7,8.3,11.2
21.8,16.0,11.5,1.0212
17.9,13.7,10.9,5.2292
33.4,24.9,16.9,1.0632
10.3,7.5,6.1,11.59
26.1,20.0,16.7,1.2176
40.92093494,27.8,15.3,0.14
33.60049143,15.1,7.6,0.02
33.1,23.9,15.7,1.81
15.12907666,7.0,3.9,1.36
32.6,24.0,16.7,2.56
16.3,12.3,8.7,0.46
20.1,15.6,12.3,1.046
7.4,6.1,5.5,11.2792
25.4,19.2,13.9,4.18
11.7,7.6,5.5,33.31
41.3,32.1,18.9,1.58
20.4,12.1,8.5,50.12
15.0,10.5,7.8,0.46
30.3,25.1,18.5,0.354
21.6,15.6,10.5,1.5872
40.4,34.4,24.8,0.9332
29.6,28.2,26.7,1.3368
10.9,6.5,5.2,43.12
24.2773513,14.4,8.8,0.59
34.3,22.7,17.3,0.318
32.35841609,22.7,14.3,0.29
18.6,14.1,11.7,7.96
26.0,15.2,8.8,3.31
24.1,17.7,12.5,1.64
47.8,38.9,25.6,0.51
13.5,9.0,6.4,0.86
30.4,23.6,14.9,0.65
37.9,28.7,15.7,0.36
20.5,16.2,12.3,1.2056
16.4,12.0,9.3,1.424
28.6,18.8,12.1,0.2312
22.0,16.4,12.5,3.1
45.7,37.7,24.8,0.21
14.5,8.5,6.2,39.27
47.0,37.9,25.6,0.18
32.6,21.8,14.7,0.1052
35.6,32.3,28.2,0.06
19.05889157,11.4,6.8,13.84
35.9,23.9,16.2,0.26
13.61697474,11.0,8.8,2.79
36.7,27.4,20.3,1.03
28.38556018,16.8,7.4,0.23
45.7,34.2,21.0,0.1436
30.8,23.9,16.2,0.88
35.8,25.1,15.6,0.25
